tracking_id	FUNCTION	Sample_10.1_0	Sample_10.2_0	Sample_20.1_0	Sample_20.2_0	Sample_0.1_0	Sample_0.2_0
HWER_00035	Similar to MTM1 Mitochondrial carrier protein MTM1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	33.8373	31.3874	9.65945	11.4196	98.3943	101.577
HWER_00036	Protein of unknown function	0.636849	0.739913	1.47204	1.3838	3.14052	3.12259
HWER_00037	Similar to UBC4 Ubiquitin-conjugating enzyme E2 4 (Candida albicans)	1.49065	1.0484	0.13511	0.525592	0.447052	0
HWER_00038	Protein of unknown function	11.8064	12.3421	10.6115	9.35475	15.0926	11.7172
HWER_00039	Similar to CTS1 Endochitinase 1 (Coccidioides immitis (strain RS))	7.13953	6.88602	9.10009	9.03043	12.0986	7.23651
HWER_00040	Similar to ASPM Abnormal spindle-like microcephaly-associated protein homolog (Colobus guereza)	6.45208	6.76379	5.82205	5.19381	4.92566	6.07994
HWER_00041	Similar to SPCC417.11c Uncharacterized aminotransferase C417.11c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	0.554001	0.498769	0.599282	0.486297	1.29531	0.995024
HWER_00042	Protein of unknown function	1.34929	0.82468	0.681183	0.498209	5.02662e-09	0.0998512
HWER_00043	Similar to rqh1 ATP-dependent DNA helicase hus2/rqh1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	5.30747	5.32047	4.59799	4.89253	3.5565	4.53577
HWER_00044	Similar to cipB Zinc-binding alcohol dehydrogenase domain-containing protein cipB (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))	9.49636	8.89774	9.21321	9.55005	12.7586	14.0436
HWER_00045	Similar to YFL054C Uncharacterized membrane protein YFL054C (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	1.45736	1.46903	2.2539	2.56873	1.1604	2.67841
HWER_00046	Similar to JID1 J domain-containing protein 1 (Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056))	28.1126	24.6124	22.0825	19.7937	0.142763	0.422776
HWER_00047	Protein of unknown function	2.9627	3.30875	6.48302	5.75423	4.12757	3.62005
HWER_00048	Protein of unknown function	0.386084	0.365331	0.327555	0.354912	8.24167	3.63569
HWER_00049	Similar to NIK1 Histidine protein kinase NIK1 (Candida albicans (strain SC5314 / ATCC MYA-2876))	8.8384	9.60772	7.9571	7.50007	12.4093	10.1845
HWER_00050	Similar to NDUFA13 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13 (Bos taurus)	108.85	119.398	148.333	157.826	323.78	295.344
HWER_00051	Similar to trm10 tRNA (guanine(9)-N1)-methyltransferase (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))	17.4067	16.2614	29.3962	26.3744	13.0488	13.6086
HWER_00052	Similar to CCR4 Glucose-repressible alcohol dehydrogenase transcriptional effector (Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173))	30.6292	33.203	26.5132	27.2302	33.0787	30.751
HWER_00053	Protein of unknown function	16.6383	16.1694	20.0795	20.2219	21.7086	18.5002
HWER_00054	Similar to lyrm5a LYR motif-containing protein 5A (Danio rerio)	12.3213	11.6729	9.58059	8.33016	2.7542	3.64932
HWER_00055	Protein of unknown function	10.3033	11.8243	8.94281	9.41339	19.3575	12.3871
HWER_00056	Similar to acrB Probable ubiquitination network signaling protein acrB (Aspergillus niger (strain CBS 513.88 / FGSC A1513))	20.3307	22.2527	16.4334	17.5338	19.7297	14.7098
HWER_00057	Similar to SPAC11D3.18c Uncharacterized transporter C11D3.18C (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	4.62294	5.56065	2.83597	2.59226	12.9084	11.5222
HWER_00058	Protein of unknown function	1.43223	1.43021	1.18635	1.47363	1.41552e-06	4.13549e-06
HWER_00059	Similar to PPR1 Pyrimidine pathway regulatory protein 1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	3.54952	4.56434	4.81152	4.8651	9.40378	6.89699
HWER_00060	Similar to gnl Gluconolactonase (Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4))	3.40999	3.32592	5.43064	4.84943	9.94308	7.75585
HWER_00061	Similar to MCH2 Probable transporter MCH2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	3.02371	2.70009	4.77022	4.78181	8.30602	3.92433
HWER_00062	Similar to RAS1 Ras-like protein 1 (Candida albicans (strain SC5314 / ATCC MYA-2876))	26.2708	27.6729	18.6445	19.886	115.099	69.2346
HWER_00063	Similar to wc-1 White collar 1 protein (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))	16.4938	17.3231	15.9575	16.48	39.0011	27.9458
HWER_00064	Protein of unknown function	16.9767	16.9277	44.7842	52.2564	19.4516	18.3766
HWER_00065	Protein of unknown function	4.01719	4.19206	5.45373	6.18588	21.6859	21.7976
HWER_00066	Protein of unknown function	6.43093	6.5254	9.22546	7.01981	5.00755	4.20984
HWER_00067	Similar to MAN1A2 Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB (Homo sapiens)	10.4605	12.9689	13.7359	12.9059	8.51074	10.4443
HWER_00068	Protein of unknown function	82.5957	62.8902	28.2677	33.963	16.9602	13.7103
HWER_00069	Similar to Zswim2 E3 ubiquitin-protein ligase Zswim2 (Mus musculus)	24.5448	21.7478	12.491	18.6687	3.70965	6.22547
HWER_00070	Similar to SPAC3H8.02 CRAL-TRIO domain-containing protein C3H8.02 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	65.1214	54.5806	40.0686	40.9958	15.468	19.3047
HWER_00071	Similar to DAM1 DASH complex subunit DAM1 (Yarrowia lipolytica (strain CLIB 122 / E 150))	11.4274	11.7497	8.43902	8.59802	8.61946	10.6066
HWER_00072	Similar to SPBC3B8.06 Uncharacterized membrane protein C3B8.06 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	10.3196	8.26552	10.6154	12.2185	2.26341	1.50018
HWER_00073	Similar to ths1 Threonine--tRNA ligase, cytoplasmic (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	74.6102	72.3183	73.0887	71.598	82.9529	84.2845
HWER_00074	Similar to fslK Frizzled and smoothened-like protein K (Dictyostelium discoideum)	1.38012	1.93032	4.44031	4.13623	4.19389	4.85205
HWER_00075	Similar to GAR1 H/ACA ribonucleoprotein complex subunit 1 (Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970))	65.6356	70.2073	111.602	113.158	370.6	246.351
HWER_00076	Similar to NSUN4 5-methylcytosine rRNA methyltransferase NSUN4 (Homo sapiens)	5.16005	5.32227	7.99268	7.51745	13.2207	9.93883
HWER_00077	Similar to tgs1 Trimethylguanosine synthase (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	2.58517	3.55636	4.68015	4.57847	4.69959	5.30219
HWER_00078	Similar to adl1 DNA ligase 3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	2.53001	1.43004	0.100445	1.91293e-06	2.74656e-08	7.13034e-08
HWER_00079	Similar to rnc1 RNA-binding protein rnc1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	6.26118	6.1532	11.1689	13.0194	12.2599	10.5904
HWER_00080	Similar to dip1 Protein dip1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	16.3836	18.3863	19.6759	17.9288	25.8997	20.0129
HWER_00081	Similar to ucpA Oxidoreductase UcpA (Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720))	3.08809	3.66663	2.62635	2.30377	4.09107	4.49018
HWER_00082	Similar to ESBP6 Uncharacterized transporter ESBP6 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	15.1461	13.037	8.32842	8.36544	5.52716	6.62101
HWER_00083	Similar to YOR052C AN1-type zinc finger protein YOR052C (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	69.8161	62.8085	25.0505	29.2028	50.3555	38.442
HWER_00084	Similar to arp4 Actin-related protein 4 (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))	48.3988	44.0807	43.9316	46.7313	43.425	50.0876
HWER_00085	Similar to GUP1 Glycerol uptake protein 1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	12.2472	12.4653	17.0421	15.895	23.7408	17.8817
HWER_00086	Similar to RSA3 Ribosome assembly protein 3 (Yarrowia lipolytica (strain CLIB 122 / E 150))	15.6174	16.3948	14.606	11.3454	5.35606	3.62688
HWER_00087	Similar to nup146 Nucleoporin nup146 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	10.4364	11.6097	12.5018	13.3953	11.648	13.7016
HWER_00088	Similar to PUP1 Proteasome subunit beta type-2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	84.6975	77.9669	83.6487	81.2795	89.054	111.065
HWER_00089	Similar to hhoA Histone H1 (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))	345.84	380.388	169.298	217.981	1385.44	1085.79
HWER_00090	Similar to its3 Phosphatidylinositol 4-phosphate 5-kinase its3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	13.0499	12.5638	13.8305	11.8984	12.1298	9.20716
HWER_00091	Protein of unknown function	3.09975	4.19533	6.12679	6.51353	4.57468	7.78787
HWER_00092	Similar to FLCY Farnesylcysteine lyase (Arabidopsis thaliana)	5.23972	5.36934	5.45053	5.52996	1.12418	1.14147
HWER_00093	Protein of unknown function	49.3894	38.4969	32.6911	31.5665	6.16554	10.03
HWER_00094	Similar to cut3 Structural maintenance of chromosomes protein 4 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	9.95096	11.7697	7.39253	7.82156	10.5476	12.1061
HWER_00095	Similar to YKE2 Prefoldin subunit 6 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	27.126	28.4357	52.4174	50.4296	65.0328	44.1306
HWER_00096	Similar to VPS4 Vacuolar protein sorting-associated protein 4 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	20.1817	18.8464	15.5754	16.7601	18.3011	18.7584
HWER_00097	Similar to FBXO21 F-box only protein 21 (Homo sapiens)	8.61767	8.03594	3.64247	3.92898	2.30735	2.72553
HWER_00098	Similar to sec14 Sec14 cytosolic factor (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	26.7555	20.7256	12.3302	12.8912	4.05163	5.64371
HWER_00099	Protein of unknown function	20.614	22.7366	28.7671	25.141	16.7979	15.5208
HWER_00100	Similar to int6 Eukaryotic translation initiation factor 3 subunit E (Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100))	49.1109	43.3039	51.8375	48.1524	58.0559	45.3917
HWER_00101	Similar to betA Oxygen-dependent choline dehydrogenase (Vibrio vulnificus (strain YJ016))	1.60401	1.82613	2.40799	2.11257	2.52399	4.06969
HWER_00102	Protein of unknown function	7.9262	7.3103	10.0343	10.8401	13.2527	10.3537
HWER_00103	Similar to smd1 Small nuclear ribonucleoprotein Sm D1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	43.5575	43.9642	54.833	54.8508	126.221	93.5503
HWER_00104	Similar to PKR1 V-type ATPase assembly factor PKR1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	21.3567	24.1807	13.8059	14.956	34.5631	21.4516
HWER_00105	Similar to APP1 Phosphatidate phosphatase APP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	20.5689	21.2431	15.3005	14.816	7.32097	9.35426
HWER_00106		0	0	0	0	0	0
HWER_00107	Similar to cmk1 Calcium/calmodulin-dependent protein kinase type I (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	37.0228	35.8126	33.6198	36.2237	35.4271	33.8284
HWER_00108	Similar to CWINV1 Beta-fructofuranosidase, insoluble isoenzyme CWINV1 (Arabidopsis thaliana)	4.37748	5.40613	2.45532	3.33466	0.620878	0.623226
HWER_00109	Protein of unknown function	1.09384e-06	3.81595e-07	1.23864e-07	4.21264e-07	4.49093e-07	1.13208e-07
HWER_00110	Protein of unknown function	2.79495	2.2144	2.85273	2.8217	3.17404	11.0876
HWER_00111	Similar to THR1 Trihydroxynaphthalene reductase (Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422))	141.581	142.381	381.942	320.909	418.204	327.572
HWER_00112	Similar to TRY5 Transcriptional regulator of yeast form adherence 5 (Candida albicans (strain SC5314 / ATCC MYA-2876))	8.99567	10.4279	8.79634	10.8913	43.702	30.3101
HWER_00113	Similar to wA Conidial yellow pigment biosynthesis polyketide synthase (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))	19.0324	23.3658	15.0223	18.8681	86.5286	77.0612
HWER_00114	Similar to SPAC3H8.07c Probable prefoldin subunit 3 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	58.1843	63.2215	89.6474	89.0121	161.111	137.968
HWER_00115	Similar to Bche Cholinesterase (Mus musculus)	3.19617	2.98669	2.54113	2.41882	3.29929	2.67518
HWER_00116	Similar to RDR1 RNA-dependent RNA polymerase 1 (Arabidopsis thaliana)	3.64582	4.03084	2.11572	1.99987	10.5729	11.1367
HWER_00117	Similar to Rint1 RAD50-interacting protein 1 (Mus musculus)	16.9997	19.5188	15.1782	13.3404	9.89544	8.33672
HWER_00118	Similar to SQS1 Protein SQS1 (Podospora anserina)	21.5108	22.973	11.7768	12.6222	7.4517	6.56419
HWER_00119	Similar to atg4 Probable cysteine protease atg4 (Botryotinia fuckeliana (strain B05.10))	26.1141	24.3904	26.7309	22.3423	16.084	11.9605
HWER_00120	Similar to HTB1 Histone H2B (Coccidioides immitis (strain RS))	1432.61	1449.97	1086.97	1296.08	3711.35	2916.96
HWER_00121	Similar to hta1 Histone H2A-alpha (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	1741.03	1686.9	1187.87	1300.04	6587.53	5199.22
HWER_00122	Similar to kgd2 Probable dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	119.393	111.009	96.9319	95.3123	97.5008	126.934
HWER_00123	Similar to CIB22 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Arabidopsis thaliana)	26.7321	26.4635	27.5207	28.8137	54.8673	50.049
HWER_00124	Similar to bioF 8-amino-7-oxononanoate synthase (Myxococcus xanthus (strain DK 1622))	0.955494	1.28288	1.06459	1.12296	6.55266	5.18089
HWER_00125	Similar to ovca2 Ovarian cancer-associated gene 2 protein homolog (Danio rerio)	2.20347e-07	4.31066e-08	1.38517e-07	5.32808e-08	6.8405e-12	0.0351591
HWER_00126	Similar to nahG Salicylate hydroxylase (Pseudomonas putida)	2.86303	2.82543	4.07812	4.84397	6.03262	5.06566
HWER_00127	Protein of unknown function	15.5366	14.105	16.3039	14.1867	5.64006	5.11207
HWER_00128	Protein of unknown function	4.68377	3.48773	4.75483	2.76177	0.568681	0.205547
HWER_00129	Similar to SLM1 Phosphatidylinositol 4,5-bisphosphate-binding protein SLM1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	44.0228	40.3361	28.2397	29.9603	35.3907	19.4762
HWER_00130	Similar to bglA Probable beta-glucosidase A (Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1))	2.81059	2.12548	4.04226	4.684	6.61223	8.67343
HWER_00131	Similar to GGA2 ADP-ribosylation factor-binding protein GGA2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	68.7117	58.0977	31.2573	34.039	27.1004	34.3272
HWER_00132	Similar to TSR3 Ribosome biogenesis protein TSR3 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	63.9596	45.6732	20.6255	21.6283	11.9296	10.017
HWER_00133	Similar to OXR1 Oxidation resistance protein 1 (Gibberella zeae (strain PH-1 / ATCC MYA-4620 / FGSC 9075 / NRRL 31084))	36.5451	32.1437	24.3848	27.5846	35.9049	28.8052
HWER_00134	Similar to chr4 Chitin synthase regulatory factor 4 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	29.0251	24.6666	15.0849	14.3491	4.09826	5.56144
HWER_00135	Similar to ATG22-2 Autophagy-related protein 22-2 (Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173))	0.234187	0.353421	0.263268	0.23523	0.208978	0.603158
HWER_00136	Similar to afcA Alpha-fucosidase A (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))	0.323841	0.356447	0.814891	0.805636	0.82852	0.66546
HWER_00137	Similar to MDM35 Mitochondrial distribution and morphology protein 35 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	23.1497	24.0372	31.2935	29.8618	40.0665	38.0877
HWER_00138	Similar to gpmI1 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 1 (Methanosarcina barkeri (strain Fusaro / DSM 804))	127.578	131.211	150.165	144.706	39.6808	75.3234
HWER_00139	Protein of unknown function	21.2539	17.6252	22.5559	16.5683	4.41775	5.71536
HWER_00140	Similar to for Serine hydroxymethyltransferase, cytosolic (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))	79.8258	71.8141	118.422	114.681	29.9298	50.8891
HWER_00141	Similar to SPAC11E3.11c PH and SEC7 domain-containing protein C11E3.11c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	7.43232	9.62519	10.2634	11.4311	19.632	19.9706
HWER_00142	Similar to LETM1 LETM1 and EF-hand domain-containing protein 1, mitochondrial (Gallus gallus)	39.2139	36.8063	33.1598	29.7268	43.0635	40.5081
HWER_00143	Protein of unknown function	10.9893	11.1498	28.7844	24.1422	43.7494	34.0461
HWER_00144	Similar to grc3 Polynucleotide 5'-hydroxyl-kinase grc3 (Aspergillus niger (strain CBS 513.88 / FGSC A1513))	1.46629	1.78334	4.83185	3.72169	1.60177	0.481488
HWER_00145	Similar to At5g27410 Branched-chain-amino-acid aminotransferase-like protein 2 (Arabidopsis thaliana)	7.38101	6.86153	4.64398	5.06367	16.4226	15.2334
HWER_00146	Similar to TMA16 Translation machinery-associated protein 16 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	21.0565	18.78	30.7784	25.5225	12.5146	15.0722
HWER_00147	Similar to EXO1 Exodeoxyribonuclease 1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	13.9074	16.4523	18.7781	18.9865	32.768	28.7796
HWER_00148	Protein of unknown function	2.83461	4.17777	2.02477	1.88136	3.5977	3.84392
HWER_00149	Similar to YIL108W Putative zinc metalloproteinase YIL108W (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	18.5989	17.7958	16.7146	19.2221	33.7997	29.9073
HWER_00150	Protein of unknown function	21.5946	22.0579	27.3463	30.8296	78.6675	60.1187
HWER_00151	Similar to lcb1 Serine palmitoyltransferase 1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	37.8335	38.415	39.3965	45.0848	29.0042	37.0488
HWER_00152	Protein of unknown function	20.2924	23.7133	16.8836	18.0283	29.9114	29.0045
HWER_00153	Similar to MOS2 Mitochondrial organizing structure protein 2 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	198.842	168.438	209.926	202.622	148.177	181.267
HWER_00154	Similar to oct1 Mitochondrial intermediate peptidase (Sclerotinia sclerotiorum (strain ATCC 18683 / 1980 / Ss-1))	20.9937	19.7076	22.9825	22.0598	7.19204	7.52783
HWER_00155	Similar to UBP2 Ubiquitin carboxyl-terminal hydrolase 2 (Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37))	16.2771	14.8315	9.60204	9.73582	9.99496	8.92313
HWER_00156	Similar to TBCC Tubulin-specific chaperone C (Homo sapiens)	22.3988	21.5831	19.6157	20.5093	35.0392	28.4325
HWER_00157	Similar to B13D24.010 NADH-ubiquinone oxidoreductase 21.3 kDa subunit (Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987))	198.571	201.199	219.81	216.405	164.978	203.992
HWER_00158	Similar to SYS1 Protein SYS1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	42.3488	45.3613	77.2492	73.7036	38.6443	35.6797
HWER_00159	Similar to SLM5 Asparagine--tRNA ligase, mitochondrial (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	40.6727	41.555	43.3544	40.8209	14.1289	16.0742
HWER_00160	Similar to SAP1 Protein SAP1 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))	28.1447	22.9601	17.8517	18.0763	11.657	13.3367
HWER_00161	Similar to Iridoid synthase (Catharanthus roseus)	2.55466	2.54899	3.56782	3.41563	2.02138	1.43444
HWER_00162	Similar to MNS1 Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1 (Arabidopsis thaliana)	4.5651e-05	5.53072e-06	1.4321e-08	2.36291e-08	1.15593e-06	1.90969e-06
HWER_00163	Similar to FMO1 Dimethylaniline monooxygenase [N-oxide-forming] 1 (Sus scrofa)	2.63356	2.8642	2.15496	2.07382	1.42417	1.54876
HWER_00164	Protein of unknown function	3.34021	4.04708	4.40256	3.76792	3.10428	3.4456
HWER_00165	Similar to eso1 N-acetyltransferase eso1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	11.3915	11.199	7.54742	7.49936	11.7611	11.6617
HWER_00166	Similar to SPBC25H2.15 Probable 20S rRNA accumulation protein 4 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))	9.50442	9.73845	16.3238	14.8654	19.1148	17.4327
HWER_00167	Protein of unknown function	36.5932	36.5806	62.2158	62.4873	79.0675	69.184
HWER_00168	Similar to melC2 Tyrosinase (Streptomyces lincolnensis)	0.303683	0.437911	0.642017	0.649886	0.235415	0.682892
